Postal/ZIP|Internet URL|Type|TotalDueBalance|Terms|Tamtagebal5|Tamtagebal4|Tamtagebal3|Tamtagebal2|Tamtagebal1|StdCh|Date|Prov/State|Name|Site|G/L Reference|Project|Phone|Row Pointer|Pamount|Pairvalue|Address|Address|Namount|Name|Invoice Seq|Invoice|Phone|Eurotamtagebal5|Eurotamtagebal4|Eurotamtagebal3|Eurotamtagebal2|Eurotamtagebal1|Europamount|Eurobalance2|Email|Date|Description|Address|Debit|Date|CustSeq|Customer|Address|Name|Currency|Currency|Postal/ZIP|Address|Credit|User Name|CreateDate|Country|Contact|City|Bank Transit Number|Name|Bank Account|Balance2|Balance1|Invoice|Number of Invoices|Address|Address|Address|Address
||Payment|||1552392.84|15257.93|13257.93|12257.93|0|P|23-04-21 0:00||MJSB|MJSB|30310||03-4065 0111|b1c4bd6d-5a59-4b9d-8ca0-faa1b149eff9|-0.01|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0.01|MCC OVERSEAS (M) SDN BHD|30310|0|03-4065 0121/122|0|0|0|0|0|0|0||13-11-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||13-11-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|-0.01|-0.01|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Payment|||1552392.84|15257.93|13257.93|12257.93|0|P|23-04-21 0:00||MJSB|MJSB|191231||03-4065 0111|c5639759-986c-4ac2-9de6-92366b0441ce|-3936.82|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|3936.82|MCC OVERSEAS (M) SDN BHD|191231|0|03-4065 0121/122|0|0|0|0|0|0|0||31-12-19|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-12-19|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|-3936.82|-3936.83|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Credit Memo|||1552392.84|15257.93|13257.93|12257.93|0|C|23-04-21 0:00||MJSB|MJSB|CN19001||03-4065 0111|e909ee0a-0064-4cd0-8027-d969800b7e88|1968.41|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|CN19001|03-4065 0121/122|0|0|0|0|0|0|0||31-12-19|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-12-19|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|1968.41|-1968.42|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20071||03-4065 0111|6d56c256-c72a-4436-bd61-915b80266dff|12353.7|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20071|03-4065 0121/122|0|0|0|0|0|0|0||31-07-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-07-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|12353.7|10385.28|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20072||03-4065 0111|5cd3034f-4864-4572-bf4a-8d4588bb71ef|9335.04|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20072|03-4065 0121/122|0|0|0|0|0|0|0||31-07-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-07-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|9335.04|19720.32|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20094||03-4065 0111|355c774a-6343-47b3-b22d-4f09f3397fe9|12870.06|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20094|03-4065 0121/122|0|0|0|0|0|0|0||31-08-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-08-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|12870.06|32590.38|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20095||03-4065 0111|19470c69-d5ab-431f-a332-b12d4942578d|10487.23|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20095|03-4065 0121/122|0|0|0|0|0|0|0||31-08-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-08-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|10487.23|43077.61|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20122||03-4065 0111|f1f183f6-9c11-42bd-b08a-62d7ef02ace6|15042.65|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20122|03-4065 0121/122|0|0|0|0|0|0|0||30-09-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||30-09-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|15042.65|58120.26|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20123||03-4065 0111|fe086726-36d4-42d1-b63d-17e7a872d320|10487.23|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20123|03-4065 0121/122|0|0|0|0|0|0|0||30-09-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||30-09-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|10487.23|68607.49|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20144||03-4065 0111|3392063d-4672-478d-bb2b-c6bf2be15f47|8291.83|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20144|03-4065 0121/122|0|0|0|0|0|0|0||31-10-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-10-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|8291.83|76899.32|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20145||03-4065 0111|68fe59fa-f3fc-45ba-950a-042b7cc2c5a2|10487.23|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20145|03-4065 0121/122|0|0|0|0|0|0|0||31-10-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-10-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|10487.23|87386.55|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20158||03-4065 0111|6ea94c41-322d-4081-8d12-b90c58ef3dc0|7149.05|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20158|03-4065 0121/122|0|0|0|0|0|0|0||30-11-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||30-11-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|7149.05|94535.6|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20159||03-4065 0111|1d0aeb57-1593-48ea-96b8-11ed0a1dfa60|10487.23|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20159|03-4065 0121/122|0|0|0|0|0|0|0||30-11-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||30-11-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|10487.23|105022.83|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20163||03-4065 0111|0abc3c43-b9bc-434a-80a6-0cd50f3fd82f|7149.05|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20163|03-4065 0121/122|0|0|0|0|0|0|0||31-12-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-12-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|7149.05|112171.88|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN20164||03-4065 0111|12cd6b25-e3ed-44e5-b880-ad1c38b436e8|10487.23|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN20164|03-4065 0121/122|0|0|0|0|0|0|0||31-12-20|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-12-20|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|10487.23|122659.11|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
||Debit Memo|||1552392.84|15257.93|13257.93|12257.93|0|D|23-04-21 0:00||MJSB|MJSB|DN21004||03-4065 0111|c4a4368a-9d70-496e-a658-75c34be669bb|6270.7|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|MCC OVERSEAS (M) SDN BHD|0|DN21004|03-4065 0121/122|0|0|0|0|0|0|0||31-01-21|60 Days|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA
03-4065 0121/122"||31-01-21|-1|AR-M093|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|6270.7|128929.81|0|0|47820 PETALING JAYA|BANDAR DAMANSARA PERDANA|NO.2 JALAN PJU 8/8A|LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
